Name,organizationId,appId,Status,Status Time
Advanced Roofing & Siding,surefire-local,advanced-roofing-and-siding,Live,2022-11-30T16:12:53.684Z
Advanced Roofing Systems Inc,surefire-local,advanced-roofing-systems-inc,Live,2022-11-30T16:12:58.735Z
Advantage Seamless Gutters,surefire-local,advantage-seamless-gutters-8bvd8,Live,2022-11-03T21:21:22.025Z
Aes Builder & Home Improvement Inc,surefire-local,aes-builder-and-home-improvement-inc,Live,2022-11-30T16:13:15.396Z
Aesthetic Roofing,surefire-local,aesthetic-roofing,Live,2022-11-30T16:13:22.334Z
Afford A Door Inc,surefire-local,afford-a-door-inc,Ready for Install,2023-02-16T17:23:59.256Z
"Affordable Dry Basements, Inc.",surefire-local,affordable-dry-basements-inc-x0f2u,Ready for Install,2023-01-12T19:32:00.527Z
Affordable Solar Cleaning Pros,surefire-local,affordable-solar-cleaning-pros,Ready for Install,2022-12-19T22:47:04.381Z
After Hours Heating & Cooling,surefire-local,after-hours-heating-and-cooling,Live,2022-12-20T05:12:07.224Z
Air Conditioning Systems,surefire-local,air-conditioning-systems,Live,2022-11-30T16:13:35.862Z
"Air Creation Heating & Cooling, LLC",surefire-local,air-creation-heating-and-cooling-llc,Live,2022-12-20T05:12:32.779Z
Air Majic A/C & Heating,surefire-local,air-majic-ac-and-heating,Live,2022-11-30T16:13:48.849Z
"Air Pro Heating & Air Conditioning, Inc.",surefire-local,air-pro-heating-and-air-conditioning-inc-rf7d6,Live,2023-02-28T14:43:37.640Z
Airduct Cleaning & Radon Co,surefire-local,airduct-cleaning-and-radon-co,Cancelled,2023-03-14T01:58:06.352Z
Aires Roofing & Construction LLC,surefire-local,aires-roofing-and-construction-llc,Ready for Install,2022-11-30T16:14:04.423Z
Airescue Heating and Cooling,surefire-local,airescue-heating-and-cooling,Submitted for Review,2023-03-07T17:39:26.488Z
Airforce Heating & Cooling,surefire-local,airforce-heating-and-cooling,Ready for Install,2023-03-09T22:06:58.288Z
"AJT Complete Construction, LLC",surefire-local,ajt-complete-construction-llc,Live,2022-11-30T16:14:11.040Z
Akron Canton Commercial and Residential Fencing,surefire-local,akron-canton-commercial-and-residential-fencing-oy944,Live,2023-01-30T17:49:25.648Z
Akurate Roofing Group LLC,surefire-local,akurate-roofing-group-llc,Live,2022-12-20T14:54:20.878Z
Alabama Renovations & Coatings,surefire-local,alabama-renovations-and-coatings-8vkmz,Ready for Install,2023-01-24T00:24:16.965Z
Aladdin Appraisal,surefire-local,aladdin-appraisal-9scc8,Live,2022-11-30T16:14:21.629Z
Albert Air Inc.,surefire-local,albert-air-inc,Live,2022-11-30T16:14:26.599Z
